單位,電話,地址,FLOOR_X,FLOOR_Y
三星分局,03-9891564,宜蘭縣三星鄉三星路5段6號,316001.000000,2728993.000000
福山派出所,03-9893224,宜蘭縣三星鄉三星路七段310號,312935.000000,2728472.000000
大洲派出所,03-9573517,宜蘭縣三星鄉上將路二段468號,323755.000000,2731969.000000
大隱派出所,03-9890880,宜蘭縣三星鄉大隱村三星路2段350號,320929.000000,2729131.000000
楓林派出所,03-9891798,宜蘭縣三星鄉桂林村萬德路100之1號,316036.000000,2730788.000000
三星派出所,03-9892561,宜蘭縣三星鄉義德村三星路5段6號,316001.000000,2728993.000000
土場派出所,03-9809612,宜蘭縣大同鄉太平村土場巷20號,300418.000000,2718620.000000
太平山派出所,03-9809802,宜蘭縣大同鄉太平村太平巷94之2號,304487.000000,2710173.000000
太平山檢查哨,03-9809802,宜蘭縣大同鄉太平村太平巷94之2號,304094.000000,2710292.000000
四季派出所,03-9809435,宜蘭縣大同鄉四季村和勳巷12號,293237.000000,2709087.000000
松羅派出所,03-9801196,宜蘭縣大同鄉松羅4巷5號,331570.000000,2739707.000000
南山派出所,03-9809175,宜蘭縣大同鄉南山村埤南巷7-4號,288454.000000,2703472.000000
明池派出所,03-9801727,宜蘭縣大同鄉英士村明池巷4號,297889.000000,2727129.000000
英士派出所,03-9801325,宜蘭縣大同鄉英士村梵梵72號,303284.000000,2723059.000000
茂安派出所,03-9809659,宜蘭縣大同鄉茂安村泰雅路5段70號,295752.000000,2713991.000000
大同分駐所,03-9801176,宜蘭縣大同鄉崙埤村朝陽39號,311626.000000,2730213.000000
寒溪派出所,03-9517465,宜蘭縣大同鄉寒溪村寒溪巷65-2號,319713.000000,2722835.000000
牛鬥派出所,03-9891731,宜蘭縣大同鄉復興村牛鬥2號,304447.000000,2709819.000000
碼崙派出所,03-9801422,宜蘭縣大同鄉樂水村碼崙路59號,303726.000000,2721521.000000
五結分駐所,03-9504381,宜蘭縣五結鄉五結村國民路17號,330743.000000,2731408.000000
利澤派出所,03-9503512,宜蘭縣五結鄉利澤村利澤路6號,333345.000000,2729056.000000
孝威派出所,03-9603506,宜蘭縣五結鄉孝威村孝威路2號,331875.000000,2731032.000000
二結派出所,03-9653901,宜蘭縣五結鄉鎮安村西河路1號,307100.000000,2725392.000000
冬山分駐所,03-9591651,宜蘭縣冬山鄉冬山村冬山路168號,330028.000000,2725565.000000
順安派出所,03-9581804,宜蘭縣冬山鄉順安村義成路二段394號,327354.000000,2727727.000000
廣興派出所,03-9512210,宜蘭縣冬山鄉廣興村廣興路193號,325833.000000,2729406.000000
大福派出所,03-9301994,宜蘭縣壯圍鄉大福村壯濱路六段200號,332596.000000,2743888.000000
壯圍分駐所,03-9382162,宜蘭縣壯圍鄉吉祥村壯五路158號,329458.000000,2737904.000000
美城派出所,03-9303691,宜蘭縣壯圍鄉美城村大福路三段38號,329613.000000,2741357.000000
忠孝派出所,03-9301984,宜蘭縣壯圍鄉順和村順和路77號,342801.000000,2761525.000000
宜蘭縣政府警察局,03-9322271,宜蘭縣宜蘭市中山路二段167號,326244.000000,2738202.000000
新生派出所,03-9284087,宜蘭縣宜蘭市中山路五段156號,326539.000000,2740470.000000
中山派出所,03-9323107,宜蘭縣宜蘭市北門里中山路219號,326198.000000,2738401.000000
民權派出所,03-9323105,宜蘭縣宜蘭市民權里光復路50號,326395.000000,2738888.000000
宜蘭分局,03-9355385,宜蘭縣宜蘭市民權里光復路50號,326395.000000,2738888.000000
延平派出所,03-9381784,宜蘭縣宜蘭市延平里東港路22號,328161.000000,2738355.000000
民族派出所,03-9322223,宜蘭縣宜蘭市-南門里三清路33號,325209.000000,2737778.000000
新民派出所,03-9323108,宜蘭縣宜蘭市新民里新民路143號,326259.000000,2739118.000000
進士派出所,03-9252219,宜蘭縣宜蘭市縣政北路5號,327162.000000,2736149.000000
武塔派出所,03-9981902,宜蘭縣南澳鄉武塔村新西路5號,329058.000000,2704938.000000
南澳分駐所,03-9981120,宜蘭縣南澳鄉南澳村蘇花路二段373號,331430.000000,2706845.000000
碧候派出所,03-9981903,宜蘭縣南澳鄉碧候村信義路陽明巷78號,329730.000000,2707874.000000
澳花派出所,03-9985152,宜蘭縣南澳鄉澳花村中央路30號,325076.000000,2691829.000000
澳花檢查哨,03-9985223,宜蘭縣南澳鄉澳花村和平1號,325032.000000,2691701.000000
東澳派出所,03-9986080,宜蘭縣南澳鄉蘇花路三段61號,334414.000000,2712928.000000
枕山派出所,03-9221993,宜蘭縣員山鄉永和路三段18號,322681.000000,2739271.000000
員山分駐所,03-9222015,宜蘭縣員山鄉員山村員山路123號,323528.000000,2737749.000000
粗坑派出所,03-9231153,宜蘭縣員山鄉員山路三段316號,315642.000000,2733638.000000
惠好派出所,03-9221994,宜蘭縣員山鄉惠好村惠好路101號,323769.000000,2735981.000000
大湖派出所,03-9221995,宜蘭縣員山鄉逸仙村大安路120號,320538.000000,2737525.000000
內城派出所,03-9221996,宜蘭縣員山鄉蓁巷村員山路二段235號,320352.000000,2734390.000000
大里派出所,03-9781139,宜蘭縣頭城鎮大里里大里路94號,343090.000000,2762187.000000
頭城分駐所,03-9771125,宜蘭縣頭城鎮武營里開蘭路283號,333546.000000,2750815.000000
二城派出所,03-9882654,宜蘭縣頭城鎮青雲路1段145號,330153.000000,2748160.000000
福成派出所,03-9771896,宜蘭縣頭城鎮福城里宜三路二段439號,293611.000000,2761450.000000
大溪派出所,03-9781205,宜蘭縣頭城鎮濱海路五段187號,340097.000000,2759409.000000
三城派出所,03-9881961,宜蘭縣礁溪鄉三民村礁溪路三段195號,327527.000000,2744961.000000
礁溪分局,03-9882053,宜蘭縣礁溪鄉中山路二段157號,328232.000000,2746860.000000
礁溪派出所,03-9882214,宜蘭縣礁溪鄉中山路二段157號,328232.000000,2746860.000000
龍潭派出所,03-9285514,宜蘭縣礁溪鄉龍潭村大坡路134號,324894.000000,2741599.000000
四城派出所,03-9284072,宜蘭縣礁溪鄉礁溪路一段157號,326986.000000,2742491.000000
開羅派出所,03-9542121,宜蘭縣羅東鎮南昌路1、3號,328355.000000,2729711.000000
成功派出所,03-9542471,宜蘭縣羅東鎮南豪里興東南路46號,328006.000000,2729366.000000
公正派出所,03-9542029,宜蘭縣羅東鎮集祥里公正路159號,327861.000000,2730380.000000
羅東分局,03-9542071,宜蘭縣羅東鎮集祥里公正路159號,327861.000000,2730380.000000
蘇澳派出所,03-9962126,宜蘭縣蘇澳鎮中山路252號,335601.000000,2721309.000000
蘇澳分局,03-9951356,宜蘭縣蘇澳鎮中山路一段252號,335554.000000,2721279.000000
南方澳派出所,03-9963580,宜蘭縣蘇澳鎮南安里漁港路84號,337721.000000,2719795.000000
港邊派出所,03-9905608,宜蘭縣蘇澳鎮港邊里蘇濱路一段195號,336320.000000,2723052.000000
新城派出所,03-9969827,宜蘭縣蘇澳鎮新城里新城南路76號,333120.000000,2723289.000000
馬賽派出所,03-9902604,宜蘭縣蘇澳鎮隘丁路12號,334541.000000,2723732.000000
三民派出所,03-8841496,花蓮縣玉里鎮三民里9鄰25號,285289.000000,2591879.000000
大禹派出所,03-8886025,花蓮縣玉里鎮大禹里227號,283654.000000,2586209.000000
松浦派出所,03-8851213,花蓮縣玉里鎮松浦里萬麗10號,288490.000000,2592076.000000
長良派出所,03-8801050,花蓮縣玉里鎮長良里143號,279510.000000,2574959.000000
春日派出所,03-8871134,花蓮縣玉里鎮春日里11鄰神農74號,290490.000000,2594725.000000
玉里分局,03-8888568,花蓮縣玉里鎮泰昌里博愛路200號,282078.000000,2581606.000000
玉里派出所,03-8882245,花蓮縣玉里鎮博愛路200號,282078.000000,2581606.000000
樂合派出所,03-8883384,花蓮縣玉里鎮樂合里27號,285090.000000,2579569.000000
觀音派出所,03-8851040,花蓮縣玉里鎮觀音里16鄰14號,286666.000000,2588009.000000
大富派出所,03-8731093,花蓮縣光復鄉大富村中山路一段23號,290038.000000,2611427.000000
光復分駐所,03-8701074,花蓮縣光復鄉大華村中正路一段127號,293327.000000,2618052.000000
富田派出所,03-8702623,花蓮縣光復鄉北富村中正路二段55號,295898.000000,2617344.000000
南華派出所,03-8521672,花蓮縣吉安鄉干城村168號,305733.000000,2649289.000000
仁里派出所,03-8527894,花蓮縣吉安鄉仁里村中正路一段38號,310364.000000,2651596.000000
吉安分局,03-8531701,花蓮縣吉安鄉仁里村中正路一段38號,310364.000000,2651596.000000
北昌派出所,03-8569376,花蓮縣吉安鄉北昌村三四鄰壽昌街6號,310238.000000,2653828.000000
吉安派出所,03-8525894,花蓮縣吉安鄉吉安村吉安路一段122號,308267.000000,2653841.000000
太昌派出所,03-8569425,花蓮縣吉安鄉吉安村吉安路一段37號,308544.000000,2654248.000000
光華派出所,03-8423135,花蓮縣吉安鄉南濱路1段459號,310720.000000,2648892.000000
稻香派出所,03-8521340,花蓮縣吉安鄉稻香村稻香路62號,307979.000000,2651069.000000
文蘭派出所,03-8641285,花蓮縣秀林鄉文蘭村72號,301503.000000,2649729.000000
重光派出所,03-8652284,花蓮縣秀林鄉文蘭村重光83號,301177.000000,2643267.000000
水源派出所,03-8572083,花蓮縣秀林鄉水源村109號,306462.000000,2655489.000000
秀林分駐所,03-8611090,花蓮縣秀林鄉秀林村十二鄰69號,313492.000000,2668368.000000
佳民派出所,03-8263274,花蓮縣秀林鄉佳民村123號,310907.000000,2661159.000000
和平派出所,03-8681034,花蓮縣秀林鄉和平村122號,325867.000000,2689769.000000
和仁派出所,03-8681206,花蓮縣秀林鄉和平村和仁路59號,322586.000000,2682664.000000
崇德派出所,03-8621043,花蓮縣秀林鄉崇德村82號,316268.000000,2673188.000000
富世派出所,03-8611344,花蓮縣秀林鄉富世村135號,313688.000000,2671819.000000
天祥派出所,03-8691139,花蓮縣秀林鄉富世村天祥22-1號,300229.000000,2675466.000000
洛韶派出所,03-8691329,花蓮縣秀林鄉富世村洛韶17號,295862.000000,2678014.000000
合歡派出所,042-5991114,花蓮縣秀林鄉富世村觀園路20之1號,281277.000000,2674950.000000
三棧派出所,03-8611745,花蓮縣秀林鄉景美村三棧26號,311868.000000,2666408.000000
加灣派出所,03-8260769,花蓮縣秀林鄉景美村加灣128之6號,311909.000000,2664234.000000
銅門派出所,03-8641051,花蓮縣秀林鄉銅門村65號,299270.000000,2651379.000000
太平派出所,03-8841503,花蓮縣卓溪鄉太平村10號,282459.000000,2589519.000000
古風派出所,03-8846113,花蓮縣卓溪鄉古風村12鄰5-1號,277894.000000,2571319.000000
崙天派出所,03-8846067,花蓮縣卓溪鄉古風村1鄰5號,276987.000000,2568229.000000
石平派出所,03-8832482,花蓮縣卓溪鄉古風村石平22鄰8號,274063.000000,2564159.000000
立山派出所,03-8841501,花蓮縣卓溪鄉立山村17鄰77-1號,281960.000000,2591889.000000
清水派出所,03-8801085,花蓮縣卓溪鄉卓清村1鄰9號,278001.000000,2575899.000000
卓樂派出所,03-8888150,花蓮縣卓溪鄉卓清村卓樂15號,277621.000000,2577022.000000
卓溪分駐所,03-8886024,花蓮縣卓溪鄉卓溪村中正路69號,281071.000000,2582669.000000
崙山派出所,03-8841502,花蓮縣卓溪鄉崙山村1鄰2號,285342.000000,2592759.000000
中華派出所,03-8328342,花蓮縣花蓮市主力里中華路300號,310906.000000,2652405.000000
中正派出所,03-8326822,花蓮縣花蓮市主信里中正路448號,311571.000000,2652431.000000
花蓮分局,03-8354008,花蓮縣花蓮市民族里軒轅路32號,312289.000000,2652517.000000
花蓮縣警察局,03-8224138,花蓮縣花蓮市民勤里府前路21號,313101.000000,2654408.000000
民意派出所,03-8227827,花蓮縣花蓮市民意里府前路518號,313107.000000,2655283.000000
美崙派出所,03-8228341,花蓮縣花蓮市民運里民權路209號,314217.000000,2654564.000000
軒轅派出所,03-8328344,花蓮縣花蓮市軒轅路32號,312289.000000,2652517.000000
中山派出所,03-8328343,花蓮縣花蓮市國威里林森路232號,311614.000000,2653085.000000
自強派出所,03-8569374,花蓮縣花蓮市國富里中央路三段840號,310273.000000,2654393.000000
豐川派出所,03-8357871,花蓮縣花蓮市國聯里國民八街15號,311504.000000,2654403.000000
竹田派出所,03-8821044,花蓮縣富里鄉竹田村40號,278932.000000,2568559.000000
東里派出所,03-8861114,花蓮縣富里鄉東里村大庄路5鄰38號,281403.000000,2574089.000000
富里分駐所,03-8831078,花蓮縣富里鄉富里村中正路140號,275342.000000,2563419.000000
學田派出所,03-8831434,花蓮縣富里鄉學田村民權路1號,273273.000000,2561200.000000
永豐派出所,03-8832669,花蓮縣富里鄉豐南村4鄰93之4號,277258.000000,2561339.000000
北埔派出所,03-8262484,花蓮縣新城鄉北埔村北埔路271號,311360.000000,2658998.000000
新城派出所,03-8611004,花蓮縣新城鄉新城村中山路59號,316403.000000,2669234.000000
新城分局,03-8611204,花蓮縣新城鄉新城村中山路59號,316403.000000,2669234.000000
嘉里派出所,03-8264135,花蓮縣新城鄉嘉里村嘉里三街47號,311764.000000,2656979.000000
奇美派出所,03-8991071,花蓮縣瑞穗鄉奇美村二鄰20號,295711.000000,2599319.000000
瑞穗分駐所,03-8872057,花蓮縣瑞穗鄉瑞穗村中正南路2號,288596.000000,2599229.000000
舞鶴派出所,03-8872874,花蓮縣瑞穗鄉舞鶴村59號,285978.000000,2595009.000000
鶴岡派出所,03-8871440,花蓮縣瑞穗鄉鶴岡村一七鄰169號,289836.000000,2602289.000000
西林派出所,03-8771116,花蓮縣萬榮鄉西林村八鄰130號,295171.000000,2633849.000000
見晴派出所,03-8771514,花蓮縣萬榮鄉見晴村七鄰96號,296110.000000,2631319.000000
紅葉派出所,03-8871372,花蓮縣萬榮鄉紅葉村一鄰11號,285269.000000,2599179.000000
馬遠派出所,03-8811420,花蓮縣萬榮鄉馬遠村二鄰41之1號,287007.000000,2608029.000000
萬榮分駐所,03-8751549,花蓮縣萬榮鄉萬榮村一鄰14之1號,291659.000000,2623799.000000
志學派出所,03-8661282,花蓮縣壽豐鄉中山路二段234號,303992.000000,2644816.000000
月眉派出所,03-8631001,花蓮縣壽豐鄉月眉村月眉三段42號,306697.000000,2640499.000000
水璉派出所,03-8601011,花蓮縣壽豐鄉水璉村水璉一街53號,307554.000000,2631157.000000
平和派出所,03-8661281,花蓮縣壽豐鄉平和村中華路二段102號,303204.000000,2642280.000000
池南派出所,03-8641280,花蓮縣壽豐鄉池南村二段13號,301494.000000,2646419.000000
