單位,電話,地址,FLOOR_X,FLOOR_Y
內政部警政署刑事警察局,02-27678020,台北市信義區忠孝東路四段553巷5號,306756.000000,2770592.000000
內政部警政署航空警察局,03-3983281,桃園縣大園鄉埔心村航勤北路27號,274455.000000,2775287.000000
臺灣警察專科學校,,台北市文山區興隆路3段153號,306455.000000,2765675.000000
內政部警政署保安警察第一總隊,02-28229543,台北市北投區立農街2段301號,302120.000000,2779044.000000
內政部警政署保安警察第二總隊,,中和市景平路123號,302124.000000,2764977.000000
內政部警政署保安警察第三總隊,02-26668601,新店市屈尺路11號,305447.000000,2757299.000000
內政部警政署保安警察第四總隊,,彰化市南郭路1段383號,204894.000000,2663086.000000
內政部警政署保安警察第五總隊,07-3720343,高雄縣仁武鄉中正路451號,183573.000000,2512640.000000
內政部警政署保安警察第六總隊,02-23946717,台北市忠孝東路1段7號,302724.000000,2770887.000000
內政部警政署國道公路警察局,,台北縣泰山鄉黎明村半山雅70號之2,292766.000000,2773345.000000
內政部警政署國家公園警察大隊,02-28625341,台北市北投區新生街11號,304265.000000,2783032.000000
內政部警政署臺灣保安警察總隊,02-29348622,台北市文山區萬盛街15號,304486.000000,2766670.000000
內政部警政署鐵路警察局,,台北市北平西路56號,301773.000000,2771188.000000
內政部警政署警察電訊所,02-29310572,台北市文山區萬盛街15號之1,304412.000000,2766737.000000
內政部警政署警察機械修理廠,,台北市臥龍街236號,306033.000000,2767924.000000
內政部警政署基隆港務警察局,02-24222177,基隆市中正區中正路5-1號,325217.000000,2781017.000000
內政部警政署臺中港務警察局,04-26562174,台中縣梧棲鎮中橫四路2號,202012.000000,2684200.000000
內政部警政署高雄港務警察局,07-5330535,高雄市鼓山區蓬萊路24號,175909.000000,2502248.000000
內政部警政署花蓮港務警察局,03-222701,花蓮市港口路13號,314606.000000,2654862.000000
內政部警政署民防防情指揮管制所,02-29346622,台北市文山區萬盛街15-3號,304411.000000,2766742.000000
內政部警政署警察廣播電臺,02-23888099,台北市廣州街17號,301215.000000,2769852.000000
內政部警政署,02-23219011,台北市忠孝東路1段7號,302724.000000,2770887.000000
中央警察大學,03-3282321,桃園縣龜山鄉大崗村樹人路56號,285110.000000,2770725.000000
